PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20
Par,Männiku Discgolf,Main,2020-06-07 15:09,61,,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,
cardo,Männiku Discgolf,Main,2020-06-07 15:09,71,10,3,3,2,6,3,6,2,2,4,2,4,3,4,4,4,4,4,6,5,
August,Männiku Discgolf,Main,2020-06-07 15:09,94,33,3,3,4,6,5,8,6,3,4,6,5,6,5,3,4,5,6,6,6,
Par,Keila Discgolfi park,Keila 18 korvi,2020-06-07 13:17,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,
cardo,Keila Discgolfi park,Keila 18 korvi,2020-06-07 13:17,64,9,3,3,3,3,7,4,3,3,3,3,2,3,2,3,4,5,4,6,,
August,Keila Discgolfi park,Keila 18 korvi,2020-06-07 13:17,82,27,4,5,4,4,5,5,5,4,5,3,4,5,2,5,4,6,5,7,,
Par,Maarjamäe,Maarjamäe (summer 2016),2020-06-06 18:30,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2020-06-06 18:30,34,4,3,3,2,4,6,2,4,3,4,3,,,,,,,,,,
August,Maarjamäe,Maarjamäe (summer 2016),2020-06-06 18:30,41,11,4,4,5,4,4,5,4,4,4,3,,,,,,,,,,
Par,Maarjamäe,Maarjamäe (summer 2016),2020-06-06 17:25,30,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
cardo,Maarjamäe,Maarjamäe (summer 2016),2020-06-06 17:25,36,6,2,3,4,4,5,5,3,2,4,4,,,,,,,,,,
August,Maarjamäe,Maarjamäe (summer 2016),2020-06-06 17:25,57,27,8,5,4,6,7,9,4,4,6,4,,,,,,,,,,
Par,Kurna Mõisapark,Main,2020-06-01 18:57,55,,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
cardo,Kurna Mõisapark,Main,2020-06-01 18:57,71,16,4,3,3,6,4,7,5,4,3,6,3,3,5,3,2,4,3,3,,
Germo,Kurna Mõisapark,Main,2020-06-01 18:57,72,17,4,3,4,6,6,5,3,4,3,4,4,4,4,3,3,4,3,5,,
Par,Männiku Discgolf,Main,2020-05-28 18:32,61,,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,
cardo,Männiku Discgolf,Main,2020-05-28 18:32,66,5,2,2,5,6,3,4,4,4,2,3,3,2,3,3,5,3,4,4,4,
Germo,Männiku Discgolf,Main,2020-05-28 18:32,86,25,4,3,4,6,4,6,3,4,4,3,4,6,4,4,5,4,6,6,6,
Par,Männiku Discgolf,Main,2020-05-21 20:45,61,,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,
cardo,Männiku Discgolf,Main,2020-05-21 20:45,65,4,2,3,3,4,3,4,2,3,4,4,3,2,3,4,3,3,6,4,5,
